"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Number","Estimated annual rate per 10,000","Age-adjusted rate per 10,000"
"2019","UHF 42","208","4","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","157","9.2","8.6"
"2019","UHF 42","209","4","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","48","2.8","2.6"
"2019","UHF 42","210","4","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","116","4.8","4.1"
"2019","UHF 42","211","4","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","186","10.7","11.6"
"2019","UHF 42","301","4","3","Manhattan","Washington Heights","Washington Heights  Manhattan","168","7.3","7.2"
"2019","UHF 42","302","4","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","223","14.4","15.3"
"2019","UHF 42","303","4","3","Manhattan","East Harlem","East Harlem  Manhattan","147","15.6","15.5"
"2019","UHF 42","304","4","3","Manhattan","Upper West Side","Upper West Side  Manhattan","55","2.8","2.7"
"2019","UHF 42","305","4","3","Manhattan","Upper East Side","Upper East Side  Manhattan","36","1.9","2.2"
"2019","UHF 42","306","4","3","Manhattan","Chelsea - Clinton","Chelsea - Clinton  Manhattan","69","4.4","4.6"
"2019","UHF 42","307","4","3","Manhattan","Gramercy Park - Murray Hill","Gramercy Park - Murray Hill  Manhattan","40","3.0","3.3"
"2019","UHF 42","308","4","3","Manhattan","Greenwich Village - SoHo","Greenwich Village - SoHo  Manhattan","5*","0.6*","0.7*"
"2019","UHF 42","309","4","3","Manhattan","Union Square - Lower East Side","Union Square - Lower East Side  Manhattan","91","5.3","5.2"
"2019","UHF 42","310","4","3","Manhattan","Lower Manhattan","Lower Manhattan  Manhattan","23","3.9","5.2"
"2019","UHF 42","401","4","4","Queens","Long Island City - Astoria","Long Island City - Astoria  Queens","85","4.7","5.3"
"2019","UHF 42","402","4","4","Queens","West Queens","West Queens  Queens","215","5.7","5.7"
"2019","UHF 42","403","4","4","Queens","Flushing - Clearview","Flushing - Clearview  Queens","65","3.0","2.6"
"2019","UHF 42","404","4","4","Queens","Bayside - Little Neck","Bayside - Little Neck  Queens","23","3.1","2.8"
"2019","UHF 42","405","4","4","Queens","Ridgewood - Forest Hills","Ridgewood - Forest Hills  Queens","100","4.6","4.2"
"2019","UHF 42","406","4","4","Queens","Fresh Meadows","Fresh Meadows  Queens","56","6.8","6.5"
